iter	Passed	Remaining
0	437	436910
1	469	234396
2	501	166619
3	533	132959
4	566	112657
5	598	99154
6	630	89417
7	712	88371
8	744	81959
9	776	76891
10	808	72666
11	840	69166
12	872	66217
13	904	63669
14	944	62013
15	1025	63087
16	1071	61940
17	1102	60142
18	1150	59376
19	1192	58408
20	1224	57065
21	1256	55843
22	1288	54733
23	1320	53713
24	1353	52776
25	1395	52271
26	1429	51512
27	1461	50749
28	1493	50008
29	1525	49327
30	1557	48689
31	1598	48353
32	1630	47789
33	1663	47251
34	1695	46750
35	1727	46261
36	1758	45780
37	1790	45325
38	1834	45196
39	1866	44805
40	1898	44415
41	1930	44030
42	1960	43637
43	1991	43277
44	2054	43591
45	2092	43398
46	2124	43084
47	2156	42767
48	2187	42455
49	2219	42175
50	2251	41896
51	2291	41776
52	2323	41514
53	2355	41272
54	2387	41029
55	2419	40787
56	2452	40568
57	2483	40338
58	2525	40277
59	2556	40059
60	2588	39852
61	2620	39651
62	2653	39463
63	2684	39264
64	2717	39083
65	2754	38983
66	2788	38837
67	2820	38662
68	2852	38490
69	2883	38312
70	2915	38151
71	2947	37984
72	2977	37811
73	3019	37780
74	3050	37618
75	3082	37475
76	3112	37313
77	3145	37178
78	3178	37050
79	3217	37005
80	3250	36877
81	3281	36738
82	3313	36606
83	3343	36465
84	3375	36338
85	3416	36306
86	3505	36789
87	3538	36672
88	3570	36551
89	3602	36428
90	3635	36316
91	3672	36245
92	3703	36114
93	3738	36030
94	3770	35917
95	3810	35886
96	3843	35778
97	3883	35743
98	3914	35622
99	3946	35514
100	3977	35401
101	4016	35363
102	4047	35251
103	4087	35214
104	4119	35114
105	4152	35022
106	4186	34937
107	4221	34862
108	4254	34779
109	4298	34779
110	4334	34715
111	4374	34682
112	4410	34617
113	4444	34543
114	4478	34465
115	4522	34467
116	4554	34372
117	4586	34280
118	4618	34192
119	4651	34113
120	4684	34030
121	4724	34004
122	4776	34055
123	4809	33977
124	4843	33903
125	4878	33836
126	4919	33815
127	4960	33793
128	4992	33708
129	5024	33625
130	5056	33543
131	5088	33457
132	5117	33363
133	5162	33360
134	5193	33276
135	5242	33304
136	5277	33242
137	5318	33220
138	5352	33155
139	5388	33100
140	5429	33075
141	5463	33010
142	5499	32960
143	5534	32898
144	5567	32830
145	5607	32798
146	5711	33140
147	5741	33054
148	5773	32973
149	5805	32898
150	5847	32878
151	5880	32808
152	5915	32745
153	5952	32702
154	5989	32650
155	6024	32591
156	6059	32536
157	6100	32510
158	6137	32460
159	6171	32400
160	6204	32334
161	6269	32429
162	6310	32404
163	6342	32332
164	6376	32267
165	6407	32191
166	6439	32119
167	6472	32053
168	6513	32025
169	6547	31966
170	6579	31895
171	6611	31828
172	6645	31766
173	6676	31694
174	6709	31631
175	6746	31587
176	6798	31612
177	6830	31544
178	6862	31477
179	6893	31405
180	6927	31346
181	6960	31282
182	6994	31228
183	7027	31164
184	7082	31201
185	7113	31130
186	7145	31063
187	7179	31007
188	7214	30956
189	7244	30884
190	7275	30817
191	7307	30751
192	7338	30686
193	7370	30622
194	7408	30583
195	7441	30525
196	7474	30468
197	7505	30401
198	7536	30334
199	7567	30269
200	7598	30204
201	7630	30144
202	7664	30091
203	7695	30028
204	7726	29963
205	7757	29898
206	7788	29835
207	7819	29773
208	7856	29732
209	7887	29672
210	7919	29613
211	7951	29556
212	7984	29500
213	8016	29442
214	8047	29382
215	8084	29343
216	8116	29288
217	8148	29228
218	8178	29167
219	8210	29109
220	8242	29054
221	8274	28997
222	8310	28957
223	8345	28912
224	8376	28850
225	8407	28794
226	8439	28737
227	8472	28686
228	8503	28631
229	8539	28590
230	8572	28538
231	8604	28484
232	8635	28427
233	8666	28371
234	8697	28313
235	8729	28259
236	8767	28225
237	8799	28172
238	8830	28118
239	8862	28063
240	8893	28008
241	8923	27951
242	8954	27895
243	8989	27854
244	9024	27809
245	9056	27757
246	9087	27705
247	9118	27650
248	9149	27595
249	9236	27708
250	9273	27674
251	9304	27618
252	9334	27561
253	9364	27504
254	9396	27452
255	9426	27396
256	9467	27369
257	9499	27321
258	9531	27270
259	9564	27220
260	9596	27172
261	9629	27123
262	9660	27072
263	9701	27046
264	9755	27056
265	9786	27005
266	9817	26953
267	9849	26901
268	9881	26851
269	9911	26797
270	9951	26769
271	9982	26717
272	10013	26666
273	10044	26614
274	10078	26571
275	10123	26556
276	10156	26509
277	10197	26483
278	10229	26435
279	10261	26385
280	10293	26337
281	10324	26288
282	10356	26238
283	10388	26189
284	10421	26144
285	10457	26106
286	10489	26058
287	10519	26007
288	10551	25959
289	10582	25908
290	10612	25857
291	10645	25811
292	10679	25769
293	10712	25723
294	10742	25673
295	10771	25618
296	10802	25569
297	10834	25522
298	10872	25491
299	10906	25448
300	10939	25403
301	10971	25357
302	11002	25308
303	11033	25260
304	11063	25210
305	11101	25178
306	11132	25129
307	11162	25079
308	11194	25033
309	11226	24986
310	11257	24939
311	11289	24893
312	11327	24863
313	11359	24817
314	11390	24770
315	11421	24722
316	11452	24674
317	11483	24628
318	11514	24580
319	11550	24544
320	11584	24505
321	11615	24457
322	11646	24410
323	11678	24365
324	11709	24318
325	11740	24272
326	11775	24235
327	11813	24202
328	11846	24161
329	11877	24114
330	11908	24068
331	11940	24025
332	11971	23979
333	12008	23945
334	12042	23904
335	12073	23860
336	12104	23814
337	12136	23769
338	12168	23726
339	12199	23680
340	12235	23646
341	12268	23604
342	12299	23559
343	12330	23513
344	12360	23467
345	12391	23422
346	12425	23382
347	12460	23346
348	12492	23303
349	12524	23260
350	12556	23216
351	12587	23171
352	12618	23127
353	12649	23083
354	12683	23044
355	12718	23008
356	12750	22965
357	12781	22921
358	12812	22876
359	12842	22830
360	12873	22788
361	12913	22758
362	12945	22716
363	12976	22673
364	13007	22630
365	13038	22585
366	13068	22540
367	13101	22500
368	13138	22467
369	13171	22426
370	13203	22384
371	13234	22342
372	13265	22298
373	13295	22253
374	13325	22209
375	13358	22168
376	13394	22135
377	13428	22096
378	13459	22052
379	13489	22009
380	13521	21968
381	13552	21924
382	13590	21893
383	13622	21853
384	13652	21809
385	13683	21766
386	13714	21723
387	13744	21679
388	13774	21636
